,0,1,2,3,4,5,6,7,8,9
1760,0.004943848,0.004051208,0.008774757,0.008996964,0.008921623,0.008759499,0.008880615,0.009007454,0.008874893,0.009124756
1780,0.004741669,0.006857872,0.009496689,0.009264946,0.008512497,0.008656502,0.009365082,0.008571625,0.00869751,0.009277344
1800,0.004272461,0.006906509,0.009029388,0.008566856,0.008348465,0.008975983,0.009223938,0.008799553,0.008803368,0.008518219
1820,0.005202293,0.007234573,0.009682655,0.008776665,0.008951187,0.008898735,0.009337425,0.009245872,0.008974075,0.009566307
1840,0.004878998,0.005653381,0.009268761,0.009385109,0.009165764,0.009236336,0.01003933,0.008874893,0.009007454,0.008823395
1860,0.004164696,0.006514549,0.008244514,0.008675575,0.008800507,0.008966446,0.008620262,0.008965492,0.008796692,0.008383751
1880,0.00392437,0.005448341,0.005126953,0.009392738,0.009159088,0.009656906,0.008881569,0.009180069,0.00935936,0.008069038
1900,0.004102707,0.007037163,0.009077072,0.009190559,0.009083748,0.009637833,0.009795189,0.009431839,0.008483887,0.008781433
1920,0.00519371,0.006153107,0.008615494,0.009218216,0.008443832,0.009315491,0.00894928,0.00942421,0.009214401,0.008882523
1940,0.004144669,0.006439209,0.009527206,0.009496689,0.009187698,0.008979797,0.009532928,0.00967598,0.009443283,0.008411407
1960,0.004243851,0.005355835,0.009174347,0.009578705,0.009746552,0.009044647,0.009008408,0.00818634,0.008581161,0.009025574
1980,0.00494957,0.00718689,0.008962631,0.009473801,0.00969696,0.00938797,0.009773254,0.009298325,0.009010315,0.009605408
2000,0.004522324,0.006175995,0.009269714,0.009698868,0.009002686,0.009464264,0.00951004,0.009054184,0.009334564,0.009263992
2020,0.004695892,0.005979538,0.009374619,0.01200104,0.009271622,0.00983429,0.009805679,0.00941658,0.008743286,0.009807587
2040,0.004667282,0.004817963,0.009344101,0.009361267,0.008893967,0.009952545,0.00989151,0.009860992,0.008945465,0.009529114
2060,0.005239487,0.006649017,0.009651184,0.009809494,0.00925827,0.009326935,0.009273529,0.009979248,0.009305954,0.009395599
2080,0.005342484,0.006057739,0.009256363,0.00941658,0.00909996,0.008979797,0.009296417,0.009000778,0.009347916,0.009557724
2100,0.00519371,0.006225586,0.009439468,0.009508133,0.009885788,0.008901596,0.009277344,0.00992012,0.009714127,0.009115219
2120,0.005132675,0.006635666,0.009576797,0.009386063,0.005687714,0.005647659,0.009407043,0.009317398,0.009361267,0.009431839
2140,0.005674362,0.006101608,0.01101685,0.009601593,0.009029388,0.009393692,0.009553909,0.009183884,0.009664536,0.009599686
2160,0.005146027,0.006710052,0.009767532,0.009597778,0.009489059,0.009462357,0.009012222,0.0092659,0.009382248,0.009332657
2180,0.004859924,0.00658989,0.009536743,0.01020813,0.009031296,0.009449005,0.009561539,0.008968353,0.009567261,0.009407043
