,0,1,2,3,4,5,6,7,8,9
1580,0.01096344,0.007553101,0.0351572,0.03196526,0.02846432,0.02409554,0.02102375,0.01750183,0.01424789,0.01102066
1600,0.007884979,0.03668976,0.03171635,0.02822399,0.02483177,0.02346325,0.01790142,0.01467323,0.01115799,0.007875443
1620,0.03633595,0.03422451,0.02910328,0.02663898,0.02182961,0.01909256,0.01472092,0.01125336,0.007940292,0.03642559
1640,0.03328896,0.03037834,0.02603245,0.02243805,0.01926517,0.01509762,0.01147842,0.008060455,0.03741646,0.03352928
1660,0.03119946,0.02657986,0.02308273,0.01929188,0.01556492,0.01333809,0.008782387,0.03829765,0.03444576,0.03190136
1680,0.02902794,0.02329922,0.01984406,0.0161829,0.01218319,0.008774757,0.03970623,0.03618145,0.03203964,0.02798653
1700,0.02436161,0.02012444,0.01649857,0.01249123,0.008937836,0.0401516,0.03620338,0.03187943,0.02824593,0.02400589
1720,0.02158737,0.01664925,0.01260185,0.00892067,0.0412674,0.03690147,0.03285789,0.03052711,0.02457619,0.0206604
1740,0.01709175,0.01300049,0.009305954,0.04379845,0.03926277,0.03374672,0.02907372,0.02510834,0.0214653,0.01724243
1760,0.01335907,0.009622574,0.04272461,0.03897858,0.0351181,0.02971268,0.0256691,0.02293205,0.01760292,0.01340675
1780,0.00948143,0.04364777,0.03938103,0.03488731,0.03248596,0.02610397,0.02205849,0.01787186,0.01352692,0.009477615
1800,0.04413605,0.04011726,0.03587151,0.032341,0.02796555,0.02239609,0.01813126,0.01365471,0.009384155,0.04536438
1820,0.04115677,0.03697586,0.03178978,0.02733421,0.02417183,0.01841354,0.01403999,0.009677887,0.04584694,0.041502
1840,0.03778458,0.03285789,0.02768898,0.0233078,0.01918983,0.01461601,0.01083183,0.04684639,0.04308891,0.03735733
1860,0.03304291,0.02838326,0.02386475,0.01929283,0.01473999,0.0105648,0.04823494,0.04279518,0.03808022,0.03296661
1880,0.02886581,0.02428818,0.01970673,0.01516342,0.01093674,0.0496273,0.04427528,0.03861809,0.03357887,0.02887344
1900,0.02468872,0.0199852,0.01516151,0.01163673,0.04959488,0.04569244,0.04051399,0.03471565,0.02992821,0.02544594
1920,0.02028275,0.01538086,0.0105629,0.05194664,0.04732132,0.04065132,0.03700066,0.03009415,0.02516365,0.020401
1940,0.01576042,0.01103592,0.05153275,0.04830933,0.04141617,0.03613853,0.03088379,0.02581596,0.02075768,0.01584244
1960,0.01162338,0.0525074,0.04848862,0.04240036,0.03692627,0.03142738,0.02638054,0.0212059,0.01633072,0.01120186
