,0,1,2,3,4,5,6,7,8,9
360,0.006987095,0.007110834,0.009002924,0.007135391,0.007088661,0.007236958,0.00731802,0.007285118,0.007762909,0.00834465
380,0.007892609,0.007914543,0.007900238,0.007928371,0.007897854,0.007845402,0.008322716,0.007732868,0.007800102,0.007808685
400,0.008695126,0.008667469,0.009135246,0.008721352,0.008722782,0.008728981,0.008727074,0.008733749,0.008602142,0.008584499
420,0.008908272,0.008843422,0.00887537,0.00886631,0.008839607,0.008891582,0.008815289,0.008836269,0.008886337,0.008888245
440,0.009596348,0.009634018,0.009756088,0.009713173,0.009692192,0.009652615,0.009711266,0.02371454,0.009552479,0.009642124
460,0.01138163,0.01065636,0.01064301,0.01053858,0.01061916,0.01059103,0.01064253,0.01059103,0.01058006,0.01043892
480,0.01242256,0.01144505,0.01140308,0.01167917,0.01159048,0.01270008,0.01175547,0.01139116,0.01240969,0.01155806
500,0.0124445,0.01300001,0.01244593,0.01271343,0.01248693,0.01234007,0.01281214,0.01249599,0.0129652,0.01241589
520,0.01345634,0.01346254,0.01348495,0.01345348,0.01372385,0.01343441,0.01352119,0.01348972,0.01385403,0.01359177
540,0.01444006,0.01448679,0.01457882,0.01443052,0.014678,0.01465464,0.01480389,0.01583958,0.01454782,0.01471758
560,0.01549911,0.01593828,0.01554823,0.01575851,0.01547766,0.0154357,0.01557732,0.01599407,0.01549387,0.01605034
580,0.01875067,0.01663399,0.01654959,0.01667166,0.01660299,0.01657104,0.01787806,0.01662397,0.01665306,0.01660061
600,0.0176959,0.01763201,0.01767588,0.01764345,0.01764297,0.01912022,0.01779366,0.0176301,0.01784992,0.01775265
620,0.01929808,0.01898909,0.01902533,0.01897383,0.01908588,0.01900244,0.02061987,0.0189271,0.01898909,0.01896191
640,0.02032375,0.02027702,0.02002859,0.02025509,0.02023172,0.02104616,0.02017355,0.02150965,0.02009487,0.02016163
660,0.02132416,0.02196169,0.02144814,0.0216732,0.0223918,0.02145481,0.02181149,0.02140379,0.02178621,0.0217042
680,0.02270174,0.02440929,0.02267933,0.02323866,0.02325344,0.02259779,0.02287579,0.02363205,0.02317572,0.02280045
700,0.02524948,0.0240221,0.02488804,0.02403021,0.02398396,0.02413988,0.02398872,0.02401161,0.02512407,0.02541924
720,0.02542782,0.0254283,0.02533484,0.02528524,0.02538633,0.02532005,0.02534866,0.02532959,0.02587891,0.02615213
740,0.0267725,0.0268054,0.02711868,0.02694511,0.0266571,0.02698517,0.0268259,0.02707291,0.02832413,0.02677155
760,0.02831364,0.02825069,0.02933979,0.02973175,0.02818108,0.02822208,0.0282383,0.0282793,0.02814388,0.0307169
780,0.02970314,0.02975845,0.02961826,0.02962494,0.02980709,0.02968216,0.02967072,0.02961922,0.02959728,0.02960682
800,0.03211689,0.03244591,0.03275967,0.03164482,0.03121185,0.03236389,0.03128242,0.03213215,0.03129005,0.03115463
820,0.03367138,0.03373337,0.03320313,0.03269482,0.03274059,0.03271484,0.03384781,0.03280735,0.03273296,0.03270817
840,0.03582382,0.03427792,0.03612137,0.03832722,0.034729,0.03542805,0.03447151,0.03523827,0.03454494,0.03539658
860,0.03700066,0.0360527,0.0361805,0.03607941,0.03739929,0.03613853,0.03615665,0.03619862,0.03708839,0.0361166
880,0.03795528,0.03772259,0.03785515,0.03975296,0.03831387,0.03797913,0.03879738,0.03791904,0.03776932,0.03766155
900,0.03947639,0.03950024,0.04016304,0.03948116,0.03943443,0.03945732,0.03986931,0.03952599,0.04118443,0.03959465
920,0.04200459,0.04168415,0.04118156,0.0412178,0.04164886,0.04100609,0.04115582,0.04264832,0.04250717,0.04249573
